Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Mi, H.-Y., Jing, X., Yu, E., McNulty, J., Peng, X.-F., Turng, L.-S.","Fabrication of triple-layered vascular scaffolds by combining electrospinning, braiding, and thermally induced phase separation",2015,"Materials Letters",161,,,305,308,,3,10.1016/j.matlet.2015.08.119,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940660144&partnerID=40&md5=1ba403b1e01d613c26cd7be5157556f7",Article,Scopus,2-s2.0-84940660144
"Liu, H., He, J.","Simultaneous release of hydrophilic and hydrophobic drugs from modified chitosan nanoparticles",2015,"Materials Letters",161,,,415,418,,3,10.1016/j.matlet.2015.09.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84941272576&partnerID=40&md5=ec52b93b4aa1d83c39c97d10a6cce9a1",Article,Scopus,2-s2.0-84941272576
"Khalid, A., Mitropoulos, A.N., Marelli, B., Tomljenovic-Hanic, S., Omenetto, F.G.","Doxorubicin loaded nanodiamond-silk spheres for fluorescence tracking and controlled drug release",2015,"Biomedical Optics Express",7,1,,132,147,,,10.1364/BOE.7.000132,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84961827796&partnerID=40&md5=1fe229d870fdbf818ed3aa9f882cdb66",Article,Scopus,2-s2.0-84961827796
"Hussein, M.A., Suryanarayana, C., Al-Aqeeli, N.","Fabrication of nano-grained Ti-Nb-Zr biomaterials using spark plasma sintering",2015,"Materials and Design",87,,,693,700,,2,10.1016/j.matdes.2015.08.082,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84944187861&partnerID=40&md5=a595831218319a467dc32a38e0d88dad",Article,Scopus,2-s2.0-84944187861
"Hou, X., Mao, D., Ma, H., Ai, Y., Zhao, X., Deng, J., Li, D., Liao, B.","Antibacterial ability of Ag-TiO&lt;inf&gt;2&lt;/inf&gt; nanotubes prepared by ion implantation and anodic oxidation",2015,"Materials Letters",161,,,309,312,,2,10.1016/j.matlet.2015.08.125,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940654560&partnerID=40&md5=f9f65628877c803b236ee7c223d92e5b",Article,Scopus,2-s2.0-84940654560
"Wu, S., Wu, J., Yue, J., To, M.K.T., Pan, H., Lu, W.W., Zhao, X.","Poly (d,l-lactic acid) electrospun fibers with tunable surface nanotopography for modulating drug release profiles",2015,"Materials Letters",161,, 19581,716,719,,1,10.1016/j.matlet.2015.09.065,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84942512393&partnerID=40&md5=eefb4edceabfbd07f2145a6524bfa29f",Article,Scopus,2-s2.0-84942512393
"Gibot, P., Schnell, F., Spitzer, D.","Ca&lt;inf&gt;3&lt;/inf&gt;(PO&lt;inf&gt;4&lt;/inf&gt;)&lt;inf&gt;2&lt;/inf&gt; biomaterial: A non toxic template to prepare highly porous Cr&lt;inf&gt;2&lt;/inf&gt;O&lt;inf&gt;3&lt;/inf&gt;",2015,"Materials Letters",161,,,172,174,,,10.1016/j.matlet.2015.07.015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940404128&partnerID=40&md5=3cf4df8b17b9d59ff8533b14744cf81e",Article,Scopus,2-s2.0-84940404128
"Banks, J.M., Harley, B.A.C., Bailey, R.C.","Tunable, Photoreactive Hydrogel System to Probe Synergies between Mechanical and Biomolecular Cues on Adipose-Derived Mesenchymal Stem Cell Differentiation",2015,"ACS Biomaterial Science and Engineering",1,8,,718,725,,1,10.1021/acsbiomaterials.5b00196,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84969285696&partnerID=40&md5=cb8520a9d71ce59761a731270417c0e6",Article,Scopus,2-s2.0-84969285696
"Kabra, H., Hwang, Y., Lim, H.L., Kar, M., Arya, G., Varghese, S.","Biomimetic Material-Assisted Delivery of Human Embryonic Stem Cell Derivatives for Enhanced in Vivo Survival and Engraftment",2015,"ACS Biomaterial Science and Engineering",1,1,,7,12,,1,10.1021/ab500021a,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84969257046&partnerID=40&md5=7fe27b8348841f1b968f9f5033e3428a",Article,Scopus,2-s2.0-84969257046
"Savage, T.J., Dunphy, D.R., Harbaugh, S., Kelley-Loughnane, N., Harper, J.C., Brinker, C.J.","Influence of Silica Matrix Composition and Functional Component Additives on the Bioactivity and Viability of Encapsulated Living Cells",2015,"ACS Biomaterial Science and Engineering",1,12,,1231,1238,,,10.1021/acsbiomaterials.5b00261,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84969132819&partnerID=40&md5=47d72dacf9fa41509cd6686ebf909f7a",Article,Scopus,2-s2.0-84969132819
"Zhang, S., Burda, J.E., Anderson, M.A., Zhao, Z., Ao, Y., Cheng, Y., Sun, Y., Deming, T.J., Sofroniew, M.V.","Thermoresponsive Copolypeptide Hydrogel Vehicles for Central Nervous System Cell Delivery",2015,"ACS Biomaterial Science and Engineering",1,8,,705,717,,1,10.1021/acsbiomaterials.5b00153,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84969257207&partnerID=40&md5=ec58128e23828142d1a742e2ef304b1d",Article,Scopus,2-s2.0-84969257207
"Levine, A.C., Sparano, A., Twigg, F.F., Numata, K., Nomura, C.T.","Influence of Cross-Linking on the Physical Properties and Cytotoxicity of Polyhydroxyalkanoate (PHA) Scaffolds for Tissue Engineering",2015,"ACS Biomaterial Science and Engineering",1,7,,567,576,,,10.1021/acsbiomaterials.5b00052,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84969260971&partnerID=40&md5=342f3e861d7e12c5e13ca07a6c4bfbb1",Article,Scopus,2-s2.0-84969260971
"Bayer, E.A., Gottardi, R., Fedorchak, M.V., Little, S.R.","The scope and sequence of growth factor delivery for vascularized bone tissue regeneration",2015,"Journal of Controlled Release",219,,,129,140,,1,10.1016/j.jconrel.2015.08.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84947204978&partnerID=40&md5=0955a96e6397197cc7a3a6e32b2fec7d",Article,Scopus,2-s2.0-84947204978
"Rambhia, K.J., Ma, P.X.","Controlled drug release for tissue engineering",2015,"Journal of Controlled Release",219,,,119,128,,2,10.1016/j.jconrel.2015.08.049,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84947486312&partnerID=40&md5=180f5c8446d6db8cc0a7546a1cb0438a",Article,Scopus,2-s2.0-84947486312
"Dumont, C.M., Park, J., Shea, L.D.","Controlled release strategies for modulating immune responses to promote tissue regeneration",2015,"Journal of Controlled Release",219,,,155,166,,2,10.1016/j.jconrel.2015.08.014,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84947492634&partnerID=40&md5=3a7be5fa23e000aee081e2a2c3324787",Article,Scopus,2-s2.0-84947492634
"Delplace, V., Payne, S., Shoichet, M.","Delivery strategies for treatment of age-related ocular diseases: From a biological understanding to biomaterial solutions",2015,"Journal of Controlled Release",219,,,652,668,,1,10.1016/j.jconrel.2015.09.065,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84947279691&partnerID=40&md5=08cea6afc50a9ae0653e5d4d52bff22d",Article,Scopus,2-s2.0-84947279691
"Huang, C., Cao, P.","Tuning Ca:P ratio by NaOH from monocalcium phosphate monohydrate (MCPM)",2015,"Materials Chemistry and Physics",,,,,,,,10.1016/j.matchemphys.2016.06.045,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84977523408&partnerID=40&md5=3c86ece4ef8b670c0993908272cb1e9b",Article in Press,Scopus,2-s2.0-84977523408
"Aekbote, B.L., Fekete, T., Jacak, J., Vizsnyiczai, G., Ormos, P., Kelemen, L.","Surface-modified complex SU-8 microstructures for indirect optical manipulation of single cells",2015,"Biomedical Optics Express",7,1,,45,56,,,10.1364/BOE.7.000045,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84961798943&partnerID=40&md5=71dc0608a59eaecde27109c56ed95137",Article,Scopus,2-s2.0-84961798943
"Nawrotek, K., Tylman, M., Balcerzak, J., Kamiński, K.","Peripheral nerve implants enriched with chemotactic factors for peripheral nervous tissue engineering",2015,"SpringerPlus",4,, L30,1,32,,,10.1186/2193-1801-4-S1-L30,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84957795808&partnerID=40&md5=2cae51a732b9d15cea220470bda69302",Article,Scopus,2-s2.0-84957795808
"Čapek, J., Vojtěch, D.","Powder metallurgical techniques for fabrication of biomaterials",2015,"Manufacturing Technology",15,6,,964,969,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84961372748&partnerID=40&md5=267ea6c5f936b39d71f4bcb67afe9275",Article,Scopus,2-s2.0-84961372748
"Zhao, M.-X., Zeng, E.-Z.","Application of functional quantum dot nanoparticles as fluorescence probes in cell labeling and tumor diagnostic imaging",2015,"Nanoscale Research Letters",10,1,,1,9,,6,10.1186/s11671-015-0873-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84928232933&partnerID=40&md5=9a4c107e879e56af0e3fe0d0c73c47c7",Article,Scopus,2-s2.0-84928232933
"Kolmann, M.A., Crofts, S.B., Dean, M.N., Summers, A.P., Lovejoy, N.R.","Morphology does not predict performance: Jaw curvature and prey crushing in durophagous stingrays",2015,"Journal of Experimental Biology",218,24,,3941,3949,,,10.1242/jeb.127340,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84963674119&partnerID=40&md5=8727072843b299dc4f3ace3603012284",Article,Scopus,2-s2.0-84963674119
"Piard, C.M., Chen, Y., Fisher, J.P.","Cell-Laden 3D Printed Scaffolds for Bone Tissue Engineering",2015,"Clinical Reviews in Bone and Mineral Metabolism",13,4,,245,255,,,10.1007/s12018-015-9198-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84948567391&partnerID=40&md5=7c72d5f96e495f757f59e3fe8a224800",Review,Scopus,2-s2.0-84948567391
"Volkov, V., Ferreira, A.V., Cavaco-Paulo, A.","On the Routines of Wild-Type Silk Fibroin Processing Toward Silk-Inspired Materials: A Review",2015,"Macromolecular Materials and Engineering",300,12,,1199,1216,,1,10.1002/mame.201500179,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84949627298&partnerID=40&md5=45cd0c48dec6dbe7d3dc9b90baf2fd69",Review,Scopus,2-s2.0-84949627298
"Feng, W., Guo, L., Liu, X., Lin, C., Li, B., Qiang, Y.","Sol–gel synthesis of TiO&lt;inf&gt;2&lt;/inf&gt;-modified nanocomposite coatings on titanium",2015,"Journal of Sol-Gel Science and Technology",76,3,,715,719,,,10.1007/s10971-015-3868-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84942892106&partnerID=40&md5=088700f563e642a0e2ba2dd49a566c5d",Article,Scopus,2-s2.0-84942892106
"Khakbaz, H., Walter, R., Gordon, T., Bobby Kannan, M.","Self-dissolution assisted coating on magnesium metal for biodegradable bone fixation devices",2015,"Materials Research Express",1,4, 045406,,,,1,10.1088/2053-1591/1/4/045406,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84927586132&partnerID=40&md5=d9db4f870e072cba747412b0f91a568d",Article,Scopus,2-s2.0-84927586132
"Tamuly, C., Hazarika, M., Bordoloi, M.","Biosynthesis of Au and Ag-Au bimetallic nanoparticles by pedicellamide for catalytic reduction of 4-nitrophenol",2015,"Journal of Bionanoscience",9,6,,460,464,,,10.1166/jbns.2015.1333,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84960437972&partnerID=40&md5=af8133174ec12ecc5bf0efb6f38a99a4",Article,Scopus,2-s2.0-84960437972
"Dobrzańska-Danikiewicz, A.D., Gaweł, T.G., Wolany, W.","Ti6Al4V titanium alloy used as a modern biomimetic material",2015,"Archives of Materials Science and Engineering",76,2,,150,156,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84958034012&partnerID=40&md5=3690e2d0f90d91568151da70a9a001d4",Article,Scopus,2-s2.0-84958034012
"Gabriel, S.B., Rezende, M.C., De Almeida, L.H., Nunes, C.A., Dille, J., De Almeida Soares, G.","Control of the microhardness to young modulus ratio by mechanical processing of a Ti-10Mo-20Nb alloy",2015,"Materials Research",18,,,39,42,,,10.1590/1516-1439.343514,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84957637585&partnerID=40&md5=6acf9b0494ca6e03b948fedb165ae95a",Conference Paper,Scopus,2-s2.0-84957637585
"Nothdurft, F.P., Fontana, D., Ruppenthal, S., May, A., Aktas, C., Mehraein, Y., Lipp, P., Kaestner, L.","Differential Behavior of Fibroblasts and Epithelial Cells on Structured Implant Abutment Materials: A Comparison of Materials and Surface Topographies",2015,"Clinical Implant Dentistry and Related Research",17,6,,1237,1249,,1,10.1111/cid.12253,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955185203&partnerID=40&md5=d807319fb8bcbe17f27ad36d6778bbb9",Article,Scopus,2-s2.0-84955185203
"Dutau, H., Musani, A.I., Laroumagne, S., Darwiche, K., Freitag, L., Astoul, P.","Biodegradable airway stents - Bench to bedside: A comprehensive review",2015,"Respiration",90,6,,512,521,,2,10.1159/000442054,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84951906571&partnerID=40&md5=2a1cf0d669978667b3edb183b747e4b6",Review,Scopus,2-s2.0-84951906571
"Han, J., Park, J., Kim, B.-S.","Integration of mesenchymal stem cells with nanobiomaterials for the repair of myocardial infarction",2015,"Advanced Drug Delivery Reviews",95,,,15,28,,,10.1016/j.addr.2015.09.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955178716&partnerID=40&md5=a701df6668da2de68f9896c9cd56969e",Article,Scopus,2-s2.0-84955178716
"Zhang, Y., Wang, J., Wang, J., Niu, X., Liu, J., Gao, L., Zhai, X., Chu, K.","Preparation of porous PLA/DBM composite biomaterials and experimental research of repair rabbit radius segmental bone defect",2015,"Cell and Tissue Banking",16,4,,615,622,,,10.1007/s10561-015-9510-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84948383825&partnerID=40&md5=d2d2439a513fdb7f6d99338c219f9acf",Article,Scopus,2-s2.0-84948383825
"Gradišnik, L., Falabella, P., Velnar, T.","Biomateriali v medicini in odziv telesa nanje | Biomaterials in medicine and tissue response to implants",2015,"Farmacevtski Vestnik",66,5,,407,413,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955237080&partnerID=40&md5=10c29c45df275b805ea5e730f981c3e3",Article,Scopus,2-s2.0-84955237080
"Yergeshov, A.A., Siraeva, Z.Y., Kazakova, R.R., Mullin, R.I., Davliev, D.M., Zakirova, A.A., Salikhova, T.I., Kuznetsova, E.V., Luong, D.T., Savina, I.N., Abdullin, T.I.","Effect of gelatin cryogel on proliferation and synthetic activity of fibroblasts in excision wound model",2015,"Genes and Cells",10,4,,29,33,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84962245113&partnerID=40&md5=b9a72aa6d33d9996c9b610e57eb190c7",Article,Scopus,2-s2.0-84962245113
"Sprouse, P.A., Dittmer, N.T., Kramer, K.J., Kanost, M.R., Dhar, P., Gehrke, S.H.","Characterization of the Secondary Structure of CP30, a Highly Repetitive Ampholytic Protein in Beetle Elytral Cuticle",2015,"Macromolecular Symposia",358,1,,212,216,,,10.1002/masy.201500074,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84950264969&partnerID=40&md5=a743802b578568f1082c8b9739832564",Conference Paper,Scopus,2-s2.0-84950264969
"Hawker, M.J., Pegalajar-Jurado, A., Hicks, K.I., Shearer, J.C., Fisher, E.R.","Allylamine and Allyl Alcohol Plasma Copolymerization: Synthesis of Customizable Biologically-Reactive Three-Dimensional Scaffolds",2015,"Plasma Processes and Polymers",12,12,,1435,1450,,2,10.1002/ppap.201500098,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955322917&partnerID=40&md5=4ce6754fcd5040076a607249349d0302",Conference Paper,Scopus,2-s2.0-84955322917
"Vikingsson, L., Sancho-Tello, M., Ruiz-Saurí, A., Díaz, S.M., Gómez-Tejedor, J.A., Ferrer, G.G., Carda, C., Monllau, J.C., Gómez Ribelles, J.L.","Implantation of a polycaprolactone scaffold with subchondral bone anchoring ameliorates nodules formation and other tissue alterations",2015,"International Journal of Artificial Organs",38,12,,659,666,,,10.5301/ijao.5000457,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84957867191&partnerID=40&md5=00217d026e3c153a929778531719b495",Article,Scopus,2-s2.0-84957867191
"García-Gareta, E., Coathup, M.J., Blunn, G.W.","Osteoinduction of bone grafting materials for bone repair and regeneration",2015,"Bone",81,,,112,121,,17,10.1016/j.bone.2015.07.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84937002671&partnerID=40&md5=261b28cd66ade6dda82130d17ae87902",Review,Scopus,2-s2.0-84937002671
"Andrews, G.P., Laverty, T.P., Jones, D.S.","Rheological Analysis of Polymer Interactions and Ageing of Poly(Methylvinylether-Co-Maleic Anhydride)/Poly(Vinyl Alcohol) Binary Networks and Their Effects on Mucoadhesion",2015,"Journal of Pharmaceutical Sciences",104,12,,4329,4338,,1,10.1002/jps.24679,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84954395879&partnerID=40&md5=34a1d92f968d236c9c256b9ff2fa0b82",Article,Scopus,2-s2.0-84954395879
"Gregorutti, R.W., Grau, J.E., Sives, F., Elsner, C.I.","Mechanical, electrochemical and magnetic behaviour of duplex stainless steel for biomedical applications",2015,"Materials Science and Technology (United Kingdom)",31,15,,1818,1824,,,10.1179/1743284715Y.0000000017,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955571386&partnerID=40&md5=1ea20474d7389d91a280597ce26ebae8",Article,Scopus,2-s2.0-84955571386
"Görs, J., Roch, T., Tartivel, L., Behl, M., Ma, N., Lendlein, A.","Immuno-compatibility of amphiphilic ABA triblock copolymer-based hydrogel films for biomedical applications",2015,"Polymers for Advanced Technologies",26,12,,1378,1386,,,10.1002/pat.3676,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84954544582&partnerID=40&md5=f2d8dce909d742cb8a57011a5f6f9baa",Article,Scopus,2-s2.0-84954544582
"Li, T., Zhang, Y., Shao, B., Gao, Y., Zhang, C., Cao, Q., Kong, L.","Partially Biodegradable Distraction Implant to Replace Conventional Implants in Alveolar Bone of Insufficient Height: A Preliminary Study in Dogs",2015,"Clinical Implant Dentistry and Related Research",17,6,,1164,1173,,,10.1111/cid.12229,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955194031&partnerID=40&md5=d395892e7d019e0e4b47eaebe08833fe",Article,Scopus,2-s2.0-84955194031
"Xie, M., Ge, J., Lei, B., Zhang, Q., Chen, X., Ma, P.X.","Star-Shaped, Biodegradable, and Elastomeric PLLA-PEG-POSS Hybrid Membrane with Biomineralization Activity for Guiding Bone Tissue Regeneration",2015,"Macromolecular Bioscience",15,12,,1656,1662,,1,10.1002/mabi.201500237,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955186542&partnerID=40&md5=f1bf7215479fcc416eff3a1af0e50b6f",Article,Scopus,2-s2.0-84955186542
"Sionkowska, A.","The potential of polymers from natural sources as components of the blends for biomedical and cosmetic applications",2015,"Pure and Applied Chemistry",87,11-12,,1075,1084,,,10.1515/pac-2015-0105,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84949960751&partnerID=40&md5=82c8798c1a5e0751b6d7ea906d86f65f",Conference Paper,Scopus,2-s2.0-84949960751
"Igartúa, D.E., Calienni, M.N., Feas, D.A., Chiaramoni, N.S., Valle Alonso, S.D., Prieto, M.J.","Development of Nutraceutical Emulsions as Risperidone Delivery Systems: Characterization and Toxicological Studies",2015,"Journal of Pharmaceutical Sciences",104,12,,4142,4152,,1,10.1002/jps.24636,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84954392188&partnerID=40&md5=4bae1792abcff4dfab7a7723d6cce397",Article,Scopus,2-s2.0-84954392188
"Huang, R., Zhu, X., Zhao, T., Wan, A.","Preparation of tissue engineering porous scaffold with poly(lactic acid) and polyethylene glycol solution blend by solvent-casting/particulate-leaching",2015,"Materials Research Express",1,4, 045403,,,,2,10.1088/2053-1591/1/4/045403,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84944103102&partnerID=40&md5=02646a9f2afd5124bc0926a8b5d2c6ae",Article,Scopus,2-s2.0-84944103102
"Kontomaris, S.-V., Yova, D., Stylianou, A., Politopoulos, K.","The significance of the percentage differences of young’s modulus in the AFM nanoindentation procedure",2015,"Micro and Nanosystems",7,2,,86,97,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84953374031&partnerID=40&md5=6d46345c576cc479a39cbbc9b237aabe",Article,Scopus,2-s2.0-84953374031
"Vijaya Bhaskar, T.B., Roch, T., Romero, O., Ma, N., Kratz, K., Lendlein, A.","Single and competitive protein adsorption on polymeric surfaces",2015,"Polymers for Advanced Technologies",26,12,,1387,1393,,2,10.1002/pat.3639,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955215122&partnerID=40&md5=d37595d6e6bd2914b9e3f86247cd86dc",Article,Scopus,2-s2.0-84955215122
"Doi, K., Miyabe, S., Fujimoto, S.","Dissolution and repassivation with passivity breakdown of various metallic biomaterials in bio-mechano-chemical environment",2015,"Zairyo/Journal of the Society of Materials Science, Japan",64,12,,981,988,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84953708833&partnerID=40&md5=85e86d993979cb0b6f359e10010a5d0a",Article,Scopus,2-s2.0-84953708833
